CustomerKey,CustomerName,Country,State,City,Gender,MaritalStatus,YearlyIncome,Occupation,DateFirstPurchase,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,SegmentOrder,Segment
11000,Jon Yang,Australia,Queensland,Rockhampton,Male,Married,90000,Professional,2005-07-22,271,3,8248.99,2,5,5,255,10,At Risk
11001,Eugene Huang,Australia,Victoria,Seaford,Male,Single,60000,Professional,2005-07-18,50,3,6383.879999999999,5,5,5,555,1,Champions
11002,Ruben Torres,Australia,Tasmania,Hobart,Male,Married,60000,Professional,2005-07-10,340,3,8114.04,1,5,5,155,11,Cannot Lose Them
11003,Christy Zhu,Australia,New South Wales,North Ryde,Female,Single,70000,Professional,2005-07-01,264,3,8139.29,2,5,5,255,10,At Risk
11004,Elizabeth Johnson,Australia,New South Wales,Wollongong,Female,Single,80000,Professional,2005-07-26,273,3,8196.01,2,5,5,255,10,At Risk
11005,Julio Ruiz,Australia,Queensland,East Brisbane,Male,Single,70000,Professional,2005-07-02,272,3,8121.33,2,5,5,255,10,At Risk
11006,Janet Alvarez,Australia,New South Wales,Matraville,Female,Single,70000,Professional,2005-07-27,260,3,8119.03,2,5,5,255,10,At Risk
11007,Marco Mehta,Australia,Victoria,Warrnambool,Male,Married,60000,Professional,2005-07-12,316,3,8211.0,1,5,5,155,11,Cannot Lose Them
11008,Rob Verhoff,Australia,Victoria,Bendigo,Female,Single,60000,Professional,2005-07-28,333,3,8106.3099999999995,1,5,5,155,11,Cannot Lose Them
11009,Shannon Carlson,Australia,Queensland,Hervey Bay,Male,Single,70000,Professional,2005-07-30,265,3,8091.33,2,5,5,255,10,At Risk
11010,Jacquelyn Suarez,Australia,Queensland,East Brisbane,Female,Single,70000,Professional,2005-07-17,251,3,8088.04,2,5,5,255,10,At Risk
11011,Curtis Lu,Australia,Queensland,East Brisbane,Male,Married,60000,Professional,2005-07-02,316,3,8133.04,1,5,5,155,11,Cannot Lose Them
11012,Lauren Walker,United States,Washington,Bremerton,Female,Married,100000,Management,2007-09-17,106,2,81.26,4,4,2,442,3,Potential Loyalist
11013,Ian Jenkins,United States,Oregon,Lebanon,Male,Married,100000,Management,2007-10-15,8,2,113.96000000000001,5,4,3,543,2,Loyal
11014,Sydney Bennett,United States,Washington,Redmond,Female,Single,100000,Management,2007-09-24,274,2,138.45000000000002,2,4,3,243,10,At Risk
11015,Chloe Young,United States,California,Burbank,Female,Single,30000,Skilled Manual,2007-07-22,376,1,2500.97,1,1,4,114,11,Cannot Lose Them
11016,Wyatt Hill,United States,California,Imperial Beach,Male,Married,30000,Skilled Manual,2007-08-13,354,1,2332.2799999999997,1,1,4,114,11,Cannot Lose Them
11017,Shannon Wang,Australia,Victoria,Sunbury,Female,Single,20000,Skilled Manual,2005-07-15,107,3,6434.3099999999995,4,5,5,455,1,Champions
11018,Clarence Rai,Australia,Victoria,Bendigo,Male,Single,30000,Clerical,2005-07-20,97,3,6533.28,4,5,5,455,1,Champions
